fish_name,size,stock,fish_cost,water_type,raised_type
MALAWI HAWK,"2.25-2.75""",4,17,FRESH WATER,F1
MALAWI HAWK,"2.25-2.75""",4,15,FRESH WATER,F1
MALAWI HAWK,"2-2.5""",4,14,FRESH WATER,F1
SUNSHINE PEACOCKS,"1.5""",6,13,FRESH WATER,F1
SUNSHINE PEACOCKS,"1.5""",6,11.5,FRESH WATER,F1
SUNSHINE PEACOCKS,"1.5""",6,9.75,FRESH WATER,F1
SUNSHINE PEACOCK - MALES,"3.5""",3,60,FRESH WATER,F1
CHITENDE PEACOCK- MALE,"3.5""+",6,58,FRESH WATER,F1
SWALLOW TAIL JACOBFREIBERGI,"1.5-1.75""",23,14,FRESH WATER,DOMESTIC
SWALLOW TAIL JACOBFREIBERGI,"1.5-1.75""",23,11.5,FRESH WATER,DOMESTIC
SWALLOW TAIL JACOBFREIBERGI,"1.5-1.75""",23,9.75,FRESH WATER,DOMESTIC
LEMON JAKE - MALE,"3.5""+",3,60,FRESH WATER,F1
EUREKA RED JAKE - FEMALE,"2.75""",4,25,FRESH WATER,DOMESTIC
MBENJI BLUE REGAL PEACOCK - FEMALE,"2.75""",5,25,FRESH WATER,DOMESTIC
MBENJI BLUE REGAL PEACOCK - MALE,"3.5-4""",3,58,FRESH WATER,DOMESTIC
BLUE GOLD PEACOCK - MALE,"3.5-4""",1,58,FRESH WATER,DOMESTIC
BLUE GOLD PEACOCK - FEMALE,"2.75-3""",3,25,FRESH WATER,DOMESTIC
RED TOP LWANDA - MALE,"3.5""+",1,60,FRESH WATER,F1
ALBINO SULFUR HEAD PEACOCKS,"1.5""",36,20,FRESH WATER,DOMESTIC
ALBINO SULFUR HEAD PEACOCKS,"1.5""",36,18,FRESH WATER,DOMESTIC
ALBINO SULFUR HEAD PEACOCKS,"1.5""",36,17,FRESH WATER,DOMESTIC
GREEN FACE PEACOCK ,"1.5""",15,13,FRESH WATER,F1
GREEN FACE PEACOCK ,"1.5""",15,11.5,FRESH WATER,F1
GREEN FACE PEACOCK ,"1.5""",15,9.75,FRESH WATER,F1
RED SHOULDER PEACOCK  ,"1.5""",15,13,FRESH WATER,DOMESTIC
RED SHOULDER PEACOCK  ,"1.5""",15,11.5,FRESH WATER,DOMESTIC
RED SHOULDER PEACOCK  ,"1.5""",15,9.75,FRESH WATER,DOMESTIC
CHILUMBA PEACOCK,"1.5""",8,13,FRESH WATER,DOMESTIC
CHILUMBA PEACOCK,"1.5""",8,11.5,FRESH WATER,DOMESTIC
CHILUMBA PEACOCK,"1.5""",8,9.75,FRESH WATER,DOMESTIC
BLUE REGAL PEACOCK - FEMALE,"3""",2,25,FRESH WATER,DOMESTIC
BLUE REGAL PEACOCK - MALE,"3.5""+",8,60,FRESH WATER,DOMESTIC
FLAVESCENT PEACOCK -MALE,"3.5""",1,58,FRESH WATER,DOMESTIC
FLAVESCENT PEACOCK  ,"1.5-1.75""",34,13,FRESH WATER,DOMESTIC
FLAVESCENT PEACOCK  ,"1.5-1.75""",34,11.5,FRESH WATER,DOMESTIC
FLAVESCENT PEACOCK  ,"1.5-1.75""",34,9.75,FRESH WATER,DOMESTIC
BICOLOR 500 - MALE,"3.5-4""",1,58,FRESH WATER,F1
BICOLOR 500 - FEMALE,"2.75""",3,25,FRESH WATER,F1
